Turkish,English
bir,one
bu,This
ne,What
ve,and
için,for
mi,Is it
de,also
o,he
ben,I
çok,lots
ama,but
evet,Yeah
var,there is
da,in
mı,is it?
değil,not
şey,thing
hayır,No
daha,more
sen,joyful
kadar,until
bana,to me
gibi,as
yok,none
bunu,this
onu,him-her-it
iyi,good
tamam,OK
beni,me
seni,you
her,each
benim,mine
sana,to you
ki,that
ya,ya
neden,why
zaman,time
sadece,Only
senin,your
burada,here
olduğunu,that is
nasıl,How
hiç,none
sonra,later
şimdi,now
en,most
öyle,so
mu,whether
şu,That
misin,will you
önce,before
biraz,a little
hadi,come on
güzel,beautiful
musun,are you?
oldu,happened
yani,well
böyle,like this
ona,him
İyi,Good
lütfen,please
onun,her
bile,even
bak,look
çünkü,because
peki,Alright
eğer,if
artık,Now
gerçekten,really
geri,back
biliyorum,I know
istiyorum,I want
kim,who
olarak,aspect
başka,other
belki,maybe
tek,single
doğru,true
büyük,large
olan,the one which
biri,somebody
olur,It is possible
buraya,here
bay,Mr
in,of
olacak,it will be
adam,man
ile,with
hiçbir,no
biz,We
yardım,help
demek,means
hey,Hey
sanırım,I think
ın,of
bilmiyorum,I do not know
bunun,its
tüm,all
teşekkürler,thanks
fazla,more
yeni,new
gün,day
ederim,I'm
nerede,where
tanrım,gosh
a,a
şeyi,stuff
merhaba,Hi
efendim,Sir
orada,there
son,end
kötü,bad
şeyler,things
gece,night
biliyor,he knows
sorun,problem
iki,two
harika,great
gerek,necessary
et,meat
tam,full
İşte,Request
bütün,all
diye,saying
hemen,now
siz,you
üzgünüm,I am sad
ol,die
olabilir,it could be
i,I
olsun,never mind
küçük,small
size,to you
yüzden,hundred
bayan,Lady
aynı,same
teşekkür,thanks
hakkında,about
tabii,of course
gel,come
onları,Them
kendi,own
kız,girl
nin,nnin
devam,continue
bize,to us
e,to
oluyor,is happening
ver,give
izin,permission
iş,work
bizi,we
buna,this
anne,mom
selam,high school
vardı,there were
geldi,came
bizim,ours
sizi,you
dur,Stop
kimse,nobody
göre,by
asla,never
özür,apology
seninle,with you
baba,father
değilim,I am not
aslında,actually
önemli,important
tekrar,again
git,go
